Agency,Opportunity Name,Paid/Unpaid,Citizenship Eligibility,Education Level,Category,Link,Description
Oak Ridge Institute for Science and Education,2024 ORISE Education Intern,Paid,"US Citizen, Permanent Resident","Undergraduate, Graduate",Education,https://www.zintellect.com/Opportunity/Details/ORISE-PSIntern-24c?contractdesignation=1,
Oak Ridge Institute for Science and Education,Information Technology Intern,Paid,US Citizen,"Graduate, Undergraduate",Mathematics & Computational Sciences,https://www.zintellect.com/Opportunity/Details/USAG-Italy-2024-0006?contractdesignation=1,
Oak Ridge Institute for Science and Education,Program Analysis Intern,Paid,US Citizen,Undergraduate,Mathematics & Computational Sciences,https://www.zintellect.com/Opportunity/Details/USAG-Italy-2024-0010?contractdesignation=1,
Oak Ridge Institute for Science and Education,Cold Regions Research and Engineering Laboratory - 2024/25 Fall/Winter Intern Program,Paid,US Citizen,"High School, Undergraduate, Graduate",Other,https://www.zintellect.com/Opportunity/Details/ERDC-CRREL-2024-0006?contractdesignation=1,
Oak Ridge Institute for Science and Education,"Clinical Research Internship, CSTARS Cincinnati",Paid,US Citizen,"High School, Undergraduate, Graduate",Mathematics & Computational Sciences,https://www.zintellect.com/Opportunity/Details/USAFSAM-2024-0005?contractdesignation=1,
Oak Ridge Institute for Science and Education,"Software Development, Testing and Assessment Fellowship - Bachelor's/Master's level",Paid,US Citizen,"Graduate, Undergraduate",Mathematics & Computational Sciences,https://www.zintellect.com/Opportunity/Details/DTRA-2024-0004?contractdesignation=1,
Oak Ridge Institute for Science and Education,USDA-FS Geospatial Hydrology Internship,Paid,"US Citizen, Permanent Resident","Graduate, Undergraduate","Earth, Environmental & Agriculture Sciences",https://www.zintellect.com/Opportunity/Details/USDA-FS-SRS-2024-0329?contractdesignation=1,
Oak Ridge Institute for Science and Education,Opportunity at DOE Office of International Affairs,Paid,US Citizen,"Graduate, Undergraduate",Energy,https://www.zintellect.com/Opportunity/Details/DOE-STP-IA-GEN-2024-2401?contractdesignation=1,
U.S. Department of Energy (DOE),Florida International University Science & Technology Workforce Development Program,Paid,"US Citizen, Permanent Resident","Undergraduate, Graduate, PhD",Energy,https://fellows.fiu.edu/apply/,
U.S. Department of Energy (DOE),Mentorship for Environmental Scholars (MES) Program,Paid,US Citizen,Pre-College University,"Earth, Environmental & Agriculture Sciences",https://www.precollegeuniversity.com/mes-program/overview/,
U.S. Department of Energy (DOE),NNSA Graduate Fellowship Program,Paid,US Citizen,Graduate,Energy,https://www.pnnl.gov/projects/ngfp,"Our fellowships span the NNSA mission space, including:

Nonproliferation. Fellows collaborate with international partners, key federal agencies, national laboratories, and the private sector to detect, secure, and dispose of dangerous nuclear and radiological material and related weapons of mass destruction technology and expertise.
Stockpile Stewardship. Fellows work to ensure the nation sustains a safe, secure, and effective nuclear deterrent through the application of science, technology, engineering, and manufacturing. The central mission includes maintaining the active stockpile, life extension programs, and weapons dismantlement.
Infrastructure and Oversight. Fellows contribute to the secure production and laboratory infrastructure that meet immediate and long-term needs. This work includes the people, systems, and processes necessary to succeed in the acquisition of mission capabilities, products, and services."
U.S. Department of Energy (DOE),Science Undergraduate Laboratory Internships (SULI),Paid,Unspecified,Undergraduate,Energy,https://science.osti.gov/wdts/suli,"Are you an undergraduate student or recent graduate who is ready to use your major in a Science, Technology, Engineering, and Math (STEM) field or science policy to help make a difference in the world? Then the Science Undergraduate Laboratory Internship (SULI) is for you!

When you join SULI, you’ll be part of a Department of Energy (DOE) team that’s working together to advance scientific impact and discovery. Expand your skills and knowledge at a DOE national laboratory using state-of-the-art facilities and advanced scientific instruments.

Each year, students from around the country participate in SULI at one of the 17 participating DOE laboratories/facilities. In this comprehensive internship, you’ll be mentored by a leading science expert who will guide you in a specific research area to gain maximum exposure to one of the many science and technology areas that underpin the U.S. Department of Energy’s (DOE’s) diverse missions. This is an opportunity for you to enhance your professional network and develop your interests in state-of-the-art research facilities and to enhance your professional network.

SULI is a paid internship opportunity sponsored and managed by the DOE Office of Science’s Office of Workforce Development for Teachers and Scientists (WDTS) in collaboration with DOE laboratories/facilities. Students can participate in SULI either in a 10-week summer internship (May–August) or in a semester-long experience (August–December or January–May)."
